id,inclinacion_peligrosa
1,0.07064205198987807
2,0.08979846733379343
4,0.013106404111955197
6,0.04743939472784077
9,0.04559188044475177
13,0.031562233243071516
14,0.22601129428740227
17,0.14406175309492616
23,0.020308785064336143
28,0.12737538788075134
30,0.03854537437870772
31,0.02135781268004112
34,0.06277228124672586
35,0.002892301338897583
44,0.0709287368770742
48,0.028397960719189767
49,0.03460428534318047
51,0.1925754411424318
52,0.03529686445023325
53,0.04119436707491815
61,0.1307707367334029
62,0.07284090989877107
66,0.17702480973375245
73,0.02011842687500075
83,0.2658843472418666
86,0.11542788483917521
92,0.051685877395408246
102,0.2266374998516159
110,0.014205724936377869
111,0.07462823884427575
115,0.003612391193036355
119,0.0192176970203286
120,0.05142673869681696
122,0.01344393381559525
123,0.0396551060521211
127,0.03030154777057093
128,0.012735152209892362
131,0.0046012522345289745
141,0.019749563821588056
142,0.040903543581175164
144,0.014685409411658848
152,0.06308898915950412
156,0.034431075559551404
157,0.006006838953863185
158,0.00583752581377525
160,0.017425051991071448
163,0.005441756272401434
164,0.01146821129885646
167,0.0563672124283008
169,4.102522073607833e-4
171,0.02706996444844029
175,0.018485248238724085
176,0.026136347813979385
178,0.08508267195767194
183,0.030180920376435327
184,0.029594941540456485
197,0.007446594707402737
201,0.03145513088276246
202,0.011129734057365639
203,0.04091017576422729
209,0.26354757222421055
210,0.2658065702554749
214,0.1204384043592701
221,0.13582527381866674
225,0.01862035968811701
227,0.09115082230265036
236,0.0800238484282602
238,0.16916171868031987
241,0.10114925859245644
244,0.06552823866954305
249,0.08952972702253378
251,0.1356446119691112
254,0.06578913787737316
256,0.10585052910052908
264,0.03825081699346405
267,0.10597536238584034
270,0.09476728937054262
273,0.11820112551261497
275,0.10048403439735874
276,0.06951145247085518
279,0.07613635873626505
280,0.15509013871548133
285,0.16573822240127162
286,0.16247793830358148
287,0.2780375772529227
289,0.1211608396986659
290,0.13880857491366652
300,0.1100200037622579
301,0.29521234852363887
302,0.04538950248852742
303,0.048870485034501775
304,0.050115511773360225
307,0.13429381284631578
312,0.13153521496271786
315,0.027602870999798503
319,0.0897160487648553
323,0.2994493310721933
328,0.06720812447786131
336,0.07873233570618635
343,0.043023146659639674
345,0.07348726272727213
346,0.21653347505321194
350,0.08877481573295537
356,0.10683436170310863
363,0.10426124338624339
365,0.1018283915389226
368,0.1946328230500881
370,0.1339751379022269
371,0.1793963245345779
373,0.15980748648015633
374,0.08286797643579777
375,0.1769196538680598
376,0.12283596910447656
377,0.21482554170009321
379,0.1915717144246256
380,0.15738034403754
381,0.056888669827691786
385,0.15380810476464968
388,0.12951128019436609
399,0.13968653663733058
404,0.1399198524029441
409,0.12411211212109277
411,0.18507752985167575
417,0.18522426162942993
420,0.150508389028126
421,0.12145468099615005
436,0.0626135477582846
441,0.1373293016986378
442,0.2231348484314049
450,0.13199535785823377
455,0.256616707386807
456,0.20539220023502205
461,0.25110850450280553
462,0.02624081538574977
464,0.10748030600004287
467,0.21542418457838286
475,0.23342893111474136
478,0.11015842754990982
484,0.09575527820723458
485,0.008923280423280423
493,0.05260752655885366
499,0.07407588745849067
504,0.10519360614476699
505,0.22905691484445356
509,0.011517142529526432
510,0.08096115726120318
517,0.02622664299637983
521,0.030028748195471026
522,0.44239411343493573
528,0.0014384920634920636
534,0.38401667645799936
538,0.05050793650793651
539,0.10407090689028768
542,0.1048643684641125
545,0.0685482519429888
547,0.03838420343235022
548,0.022449735449735445
550,0.03246230158730158
563,0.2640870873235003
569,0.1922033157940808
573,0.217451116257842
574,0.05273136567664317
576,0.18511915694303732
577,0.05322691485573779
579,0.09687896825396826
580,0.29910693803839417
582,0.2306633792563287
585,0.31883376889184833
586,0.2911243481065828
590,0.0714714899636955
594,0.22319810402073245
604,0.19881165169941065
606,0.017924758792405845
607,0.07848620752803924
612,0.13518184568801273
614,0.22051708763261313
615,0.29359183219866397
617,0.056072940573043455
619,0.17191694611832692
629,0.03343453541260558
632,0.006200396825396826
635,0.007867063492063491
637,0.11369012848479206
639,0.006200396825396826
640,0.007867063492063491
642,0.03683775410749094
644,0.028905423280423274
645,0.1070853290633993
648,0.022873468393205223
649,0.005663359788359789
653,0.060763684680516405
659,0.1367941391146123
661,0.043852295680291364
668,0.026718778507571605
670,0.03851152166492281
676,0.05281906134746246
683,0.06841652851964367
687,0.03349830687830688
690,0.0062790782511835145
692,0.22846231230624453
694,0.1539043911050295
699,0.16348232101496524
701,0.2432573329738861
702,0.39844861204459986
